drug,symptom,faers_reports,label
atorvastatin,myocardial infarction,4625,2
atorvastatin,heart attack,0,0
atorvastatin,cardiac arrest,1915,1
atorvastatin,stroke,0,0
atorvastatin,cerebrovascular accident,4373,2
atorvastatin,anaphylactic reaction,775,1
atorvastatin,anaphylaxis,0,0
atorvastatin,angioedema,1217,1
atorvastatin,stevens-johnson syndrome,320,1
atorvastatin,renal failure,5298,2
atorvastatin,kidney failure,0,0
atorvastatin,hepatic failure,590,1
atorvastatin,liver failure,0,0
atorvastatin,respiratory failure,1638,1
atorvastatin,pulmonary embolism,1686,1
atorvastatin,deep vein thrombosis,995,1
atorvastatin,gastrointestinal haemorrhage,2943,2
atorvastatin,internal bleeding,0,0
atorvastatin,seizure,1881,1
atorvastatin,convulsion,283,0
atorvastatin,suicidal ideation,1010,1
atorvastatin,rhabdomyolysis,3962,2
atorvastatin,pancreatitis,1063,1
atorvastatin,sepsis,2727,2
atorvastatin,chest pain,5605,2
atorvastatin,dyspnoea,15552,2
atorvastatin,shortness of breath,0,0
atorvastatin,dizziness,12867,2
atorvastatin,vertigo,1471,1
atorvastatin,palpitations,2628,2
atorvastatin,tachycardia,2051,2
atorvastatin,bradycardia,2296,2
atorvastatin,hypertension,5103,2
atorvastatin,hypotension,6531,2
atorvastatin,syncope,3733,2
atorvastatin,fainting,0,0
atorvastatin,oedema,1282,1
atorvastatin,swelling,1548,1
atorvastatin,rash,7073,2
atorvastatin,urticaria,2188,2
atorvastatin,hives,0,0
atorvastatin,pruritus,7356,2
atorvastatin,itching,0,0
atorvastatin,vomiting,9327,2
atorvastatin,nausea,15441,2
atorvastatin,diarrhoea,16469,2
atorvastatin,abdominal pain,5145,2
atorvastatin,headache,11319,2
atorvastatin,migraine,1179,1
atorvastatin,tremor,3113,2
atorvastatin,insomnia,5392,2
atorvastatin,anxiety,4561,2
atorvastatin,depression,3940,2
atorvastatin,fatigue,18514,2
atorvastatin,asthenia,10493,2
atorvastatin,weakness,0,0
atorvastatin,pyrexia,6132,2
atorvastatin,fever,0,0
atorvastatin,arthralgia,9404,2
atorvastatin,joint pain,0,0
atorvastatin,myalgia,8936,2
atorvastatin,muscle pain,0,0
atorvastatin,back pain,5728,2
atorvastatin,cough,7214,2
lipitor,myocardial infarction,5736,2
lipitor,heart attack,0,0
lipitor,cardiac arrest,898,1
lipitor,stroke,0,0
lipitor,cerebrovascular accident,4476,2
lipitor,anaphylactic reaction,349,1
lipitor,anaphylaxis,0,0
lipitor,angioedema,261,0
lipitor,stevens-johnson syndrome,127,0
lipitor,renal failure,3502,2
lipitor,kidney failure,0,0
lipitor,hepatic failure,279,0
lipitor,liver failure,0,0
lipitor,respiratory failure,905,1
lipitor,pulmonary embolism,991,1
lipitor,deep vein thrombosis,852,1
lipitor,gastrointestinal haemorrhage,1676,1
lipitor,internal bleeding,0,0
lipitor,seizure,563,1
lipitor,convulsion,791,1
lipitor,suicidal ideation,645,1
lipitor,rhabdomyolysis,1329,1
lipitor,pancreatitis,939,1
lipitor,sepsis,1189,1
lipitor,chest pain,4016,2
lipitor,dyspnoea,7722,2
lipitor,shortness of breath,0,0
lipitor,dizziness,7087,2
lipitor,vertigo,681,1
lipitor,palpitations,1685,1
lipitor,tachycardia,753,1
lipitor,bradycardia,602,1
lipitor,hypertension,4199,2
lipitor,hypotension,2627,2
lipitor,syncope,1408,1
lipitor,fainting,0,0
lipitor,oedema,837,1
lipitor,swelling,1051,1
lipitor,rash,3760,2
lipitor,urticaria,1327,1
lipitor,hives,0,0
lipitor,pruritus,3567,2
lipitor,itching,0,0
lipitor,vomiting,4516,2
lipitor,nausea,9040,2
lipitor,diarrhoea,7412,2
lipitor,abdominal pain,2439,2
lipitor,headache,6685,2
lipitor,migraine,681,1
lipitor,tremor,2045,2
lipitor,insomnia,3674,2
lipitor,anxiety,3926,2
lipitor,depression,3318,2
lipitor,fatigue,9671,2
lipitor,asthenia,6600,2
lipitor,weakness,0,0
lipitor,pyrexia,3025,2
lipitor,fever,0,0
lipitor,arthralgia,6311,2
lipitor,joint pain,0,0
lipitor,myalgia,7566,2
lipitor,muscle pain,0,0
lipitor,back pain,4219,2
lipitor,cough,3688,2
lisinopril,myocardial infarction,5678,2
lisinopril,heart attack,0,0
lisinopril,cardiac arrest,1821,1
lisinopril,stroke,0,0
lisinopril,cerebrovascular accident,4695,2
lisinopril,anaphylactic reaction,1025,1
lisinopril,anaphylaxis,0,0
lisinopril,angioedema,8000,2
lisinopril,stevens-johnson syndrome,255,0
lisinopril,renal failure,7652,2
lisinopril,kidney failure,0,0
lisinopril,hepatic failure,390,1
lisinopril,liver failure,0,0
lisinopril,respiratory failure,1609,1
lisinopril,pulmonary embolism,1707,1
lisinopril,deep vein thrombosis,1519,1
lisinopril,gastrointestinal haemorrhage,3290,2
lisinopril,internal bleeding,0,0
lisinopril,seizure,1379,1
lisinopril,convulsion,887,1
lisinopril,suicidal ideation,1334,1
lisinopril,rhabdomyolysis,988,1
lisinopril,pancreatitis,1869,1
lisinopril,sepsis,2249,2
lisinopril,chest pain,5936,2
lisinopril,dyspnoea,14079,2
lisinopril,shortness of breath,0,0
lisinopril,dizziness,13873,2
lisinopril,vertigo,1130,1
lisinopril,palpitations,2525,2
lisinopril,tachycardia,1505,1
lisinopril,bradycardia,1533,1
lisinopril,hypertension,8625,2
